city,city_ascii,country,latitude,longitude,population
Agdam,Agdam,Azerbaijan,40.9053,45.5564,0
Ennadai,Ennadai,Canada,61.1333,-100.8833,0
Nordvik,Nordvik,Russia,74.0165,111.51,0
Ambarchik,Ambarchik,Russia,69.651,162.3336,0
Logashkino,Logashkino,Russia,70.8504,153.9,0
Chernobyl,Chernobyl,Ukraine,51.3894,30.0989,0
Puerto Heath,Puerto Heath,Bolivia,-12.4996,-68.6666,10
Villa Martin,Villa Martin,Bolivia,-20.7666,-67.7833,10
Island Lake,Island Lake,Canada,53.9666,-94.7666,10
Big Beaver House,Big Beaver House,Canada,52.95,-89.8833,10
Lagunas,Lagunas,Chile,-20.9829,-69.6833,10
Berenice,Berenice,Egypt,23.946,35.4842,10
Nord,Nord,Greenland,81.7166,-17.8,10
Timmiarmiut,Timmiarmiut,Greenland,62.5333,-42.2167,10
Qeqertasuaq,Qeqertasuaq,Greenland,69.2442,-53.5652,10
Zillah,Zillah,Libya,28.5504,17.5834,10
Chegga,Chegga,Mauritania,25.3804,-5.78,10
Bir Mogrein,Bir Mogrein,Mauritania,25.2333,-11.5833,10
Hodrogo,Hodrogo,Mongolia,48.9664,96.7833,10
Djado,Djado,Niger,21.015,12.3075,10
El Porvenir,El Porvenir,Panama,9.5417,-78.972,10
Gueppi,Gueppi,Peru,-0.1166,-75.23,10
Andoas,Andoas,Peru,-2.9021,-76.4025,10
Soldado Bartra,Soldado Bartra,Peru,-2.5161,-75.7666,10
Puca Urco,Puca Urco,Peru,-2.3328,-71.9167,10
Numto,Numto,Russia,63.6667,71.3333,10
Khorgo,Khorgo,Russia,73.4833,113.63,10
Olenek,Olenek,Russia,68.525,112.45,10
Peregrebnoye,Peregrebnoye,Russia,62.967,65.0859,10
Matochkin Shar,Matochkin Shar,Russia,73.27,56.4497,10
Laryak,Laryak,Russia,61.1012,80.2514,10
Varnek,Varnek,Russia,69.7301,60.0636,10
Indiga,Indiga,Russia,67.6898,49.0166,10
Zvezdnyy,Zvezdnyy,Russia,70.9566,-179.59,10
Agapa,Agapa,Russia,71.4504,89.25,10
Yessey,Yessey,Russia,68.4837,102.1666,10
Podkamennaya,Podkamennaya,Russia,61.5995,90.1236,10
Komsa,Komsa,Russia,61.868,89.2577,10
Starorybnoye,Starorybnoye,Russia,72.7666,104.8,10
Omchak,Omchak,Russia,61.6333,147.9167,10
Trofimovsk,Trofimovsk,Russia,72.5997,127.0337,10
Gyda,Gyda,Russia,70.8814,78.4661,10
Sagastyr,Sagastyr,Russia,73.3779,126.5924,10
Manily,Manily,Russia,62.55,165.3,10
Bol'sheretsk,Bol'sheretsk,Russia,52.439,156.3594,10
Utkholok,Utkholok,Russia,57.5504,157.2333,10
Karamken,Karamken,Russia,60.2004,151.1666,10
Siglan,Siglan,Russia,59.0337,152.4166,10
Pakhachi,Pakhachi,Russia,60.5816,169.05,10
Menkere,Menkere,Russia,67.9886,123.3505,10
Strelka,Strelka,Russia,61.867,152.2502,10
Tunguskhaya,Tunguskhaya,Russia,64.9004,125.25,10
Terbyas,Terbyas,Russia,64.3761,120.5469,10
Ulkan,Ulkan,Russia,55.9004,107.7833,10
Zhilinda,Zhilinda,Russia,70.1337,114,10
Ust Olensk,Ust Olensk,Russia,72.9978,119.7729,10
Chagda,Chagda,Russia,60.1,133.9,10
Tukchi,Tukchi,Russia,57.367,139.5,10
Nyukzha,Nyukzha,Russia,56.5312,121.6131,10
Khakhar,Khakhar,Russia,57.6666,135.43,10
Il'pyrskiy,Il'pyrskiy,Russia,59.9674,164.172,10
Zemlya Bunge,Zemlya Bunge,Russia,74.8983,142.105,10
Shalaurova,Shalaurova,Russia,73.2204,143.1833,10
Cuya,Cuya,Chile,-19.1167,-70.1333,20
